100000,1,1G,10000,86.0297,49.9388,0.0067,8.0825,5.0930,738.5126,0.0067,36452
300000,1,1G,10000,256.7198,71.3028,0.0017,8.3272,5.5091,723.0685,0.0017,114330
500000,1,1G,10000,406.3084,46.3092,0.0793,7.5542,5.7768,881.4486,0.0793,141811
100000,2,2G,10000,30.5188,4.9511,0.0306,2.9449,0.5114,3276.6731,0.0306,0
300000,2,2G,10000,94.3596,4.5926,0.0250,3.1087,0.3240,3179.3272,0.0250,0
500000,2,2G,10000,156.9060,4.0821,0.0132,3.1082,0.3207,3186.6214,0.0132,0
100000,4,4G,10000,14.3974,2.1121,0.0078,1.3770,0.2140,6945.7035,0.0078,0
300000,4,4G,10000,43.3603,2.2620,0.0242,1.4179,0.2452,6918.7642,0.0242,0
500000,4,4G,10000,73.6424,2.0397,0.0203,1.4560,0.1801,6789.5643,0.0203,0
100000,1,1G,5000,63.1196,7.4044,0.0526,3.1026,0.4171,1584.2928,0.0526,0
300000,1,1G,5000,189.9177,6.1868,0.0729,3.1489,0.3358,1579.6315,0.0729,0
500000,1,1G,5000,308.5332,6.1809,0.0481,3.0744,0.3392,1620.5713,0.0481,0
100000,2,2G,5000,30.9027,2.3262,0.0307,1.5165,0.2093,3235.9616,0.0307,0
300000,2,2G,5000,92.9667,2.8164,0.0067,1.5384,0.2087,3226.9633,0.0067,0
500000,2,2G,5000,159.2344,2.8133,0.1051,1.5847,0.1701,3140.0257,0.1051,0
100000,4,4G,30000,14.3158,6.6435,0.0049,3.8526,0.8893,6985.2888,0.0049,0
300000,4,4G,30000,42.7777,6.3479,0.0030,4.1060,0.6862,7005.8725,0.0030,305
500000,4,4G,30000,115.5088,75.2492,0.0029,4.4747,4.3806,4290.8679,0.0029,4356
100000,1,1G,8000,63.2474,23.1929,0.0106,4.9346,1.6986,1505.4062,0.0106,4786
300000,1,1G,8000,183.7254,19.7134,0.0158,4.8472,1.1602,1593.7640,0.0158,7184
500000,1,1G,8000,302.8239,22.7849,0.0168,4.7956,1.1452,1606.8909,0.0168,13394
100000,2,2G,8000,29.8691,3.9237,0.0043,2.3211,0.3798,3347.9385,0.0043,0
300000,2,2G,8000,91.9310,3.3362,0.1752,2.4279,0.2813,3263.3186,0.1752,0
500000,2,2G,8000,158.2402,3.2615,0.0060,2.5148,0.2418,3159.7530,0.0060,0
100000,4,4G,20000,14.2851,4.4141,0.0035,2.5871,0.4934,7000.2813,0.0035,0
300000,4,4G,20000,46.0412,4.8895,0.0050,2.9854,0.3859,6515.9087,0.0050,0
500000,4,4G,20000,76.3320,4.3766,0.0022,2.9959,0.3699,6550.3306,0.0022,0
